Recommended by | Books | Recommendation Count
Charles Koch | "Human Action: A Treatise on Economics" by Ludwig Von Mises | 1
David Koch | "One Mistake, Relentless Pain: A True Story Detailing the Consequences of Drinking and Driving" by David Koch | 1
Mukesh Ambani | "CRISPR Gene Editing" editors: Luo, Yonglun | 1
Sergey Brin | "How to Read a Book: The Classic Guide to Intelligent Reading" by Mortimer J. Adler and Charles Van Doren | 1
Jack Ma | "Built to Last: Successful Habits of Visionary Companies (Good to Great)" Jim Collins | 1
Michael Dell | "Physics of the Future: How Science Will Shape Human Destiny and Our Daily Lives by the Year 2100" by Michio Kaku | 1
Elon Mask | "Ignition!: An Informal History of Liquid Rocket Propellants"  by John D. Clark | 1
Tadashi Yanai | "Nots of a Manager" by Tadashi Yanai | 1
Masayoshi Son | "Son masayoshi ga yonjuÌ„nenkan katatte kita koto" by Masayoshi Son | 1
Rupert Murdoch | "The Talent Code:Greatness Isn’t Born. It’s Grown. Here’s How." by Daniel Coyle | 1
Ray Dalio | "Einstein’s Mistakes: The Human Failings of Genius"  by Hans C. Ohanian | 1
Carl Icahn | "The Alpha Masters: Unlocking the Genius of the World’s Top Hedge Funds" by Maneet Ahuja | 1
Hasso Plattner | "The Future of Enterprise Applications"  by Bernd Leukert and Hasso Plattner | 1
Stephen Schwarzman | "What It Takes: Lessons in the Pursuit of Excellence" by Stephen A. Schwarzman | 1
Steve Cohen | "Harry Lorayne's Page-a-Minute Memory Book" by Harry Lorayne | 1
Jeff Bezos | “Good to Great: Why Some Companies Make the Leap … and Others Don’t” by Jim Collins | 1
Bill Gates | "Nine Pints" by Rose George | 1
Warren Buffet | "Stress Test: Reflections on Financial Crises" by Tim Geithner | 1
Carlos Slim Helu | "The Crash of ’79" by Paul E. Erdman | 1
Larry Ellison | "A Peace to End All Peace" by David Fromkin | 1
Michael Bloomberg | "Thirst: A Story of Redemption, Compassion, and a Mission to Bring Clean Water to the World" by Scott Harrison | 1
Larry Page | “QED: The Strange Theory of Light and Matter”  by Richard P. Feynman | 1
Charles Koch | "Personal Knowledge: Towards a Post-Critical Philosophy" by Michael Polanyi | 1
David Koch | "Kochie's Guide: How Smart Couples Can Start With Nothing But Love And Laughs And Create Real Wealth" by David Koch, Libby Koch | 1
Jack Ma | "Makers: The New Industrial Revolution" by Chris Anderson | 1
Michael Dell | "Breakpoint: Why the Web Will Implode, Search Will Be Obsolete, and Everything Else You Need to Know About Technology Is in Your Brain" by Jeff Stibel | 1
Elon Mask | "Superintelligence: Paths, Dangers, Strategies"  by Nick Bostrom | 1
Tadashi Yanai | "Shine ansuroporojiÌ„ : jinruigaku no arata na jissen e" by Seiji Murao; Tadashi Yanai; Masatoshi Kubo | 1
Rupert Murdoch | "Intelligent Governance for the 21st Century"  by Nicolas Berggruen | 1
Ray Dalio | "The Lessons of History" by Will Durant & Ariel Durant | 1
Carl Icahn | "King Icahn: The Biography of a Renegade Capitalist" by Mark Stevens | 1
Hasso Plattner | "A Course in in-Memory Data Management : The Inner Mechanics of in-Memory Databases"  by Hasso Plattner | 1
Stephen Schwarzman | “We Were Soldiers Once… and Young,” by Harold G. Moore and Joseph L. Galloway | 1
Steve Cohen | "The New Elite: Inside the Minds of the Truly Wealthy" by Jim Taylor, Doug Harrison, and Stephen Kraus | 1
Jeff Bezos | “The Innovator’s Dilemma”  by Clayton Christensen | 1
Bill Gates | "Upheaval" by Jared Diamond | 1
Warren Buffet | "The Essays of Warren Buffett" by Warren Buffett | 1
Carlos Slim Helu | "The Fords: An American Epic" by Peter Collier and David Horowitz | 1
Larry Ellison | "Fate Is the Hunter: A Pilot's Memoir" by Ernest K. Gann | 1
Michael Bloomberg | "The Start-up of You: Adapt to the Future, Invest in Yourself, and Transform Your Career" by Reid Hoffman, Ben Casnocha | 1
Larry Page | “Pleasure of Finding Things Out”  by Richard P. Feynman | 1
Charles Koch | "America’s War for the Greater Middle East" by Andrew Bacevich | 1
David Koch | "Slaying the Dragon : The Journey from the Dungeon to the Ivory Tower" by David Koch | 1
Jack Ma | "Here Comes Everybody: The Power of Organizing Without Organizations" by Clay Shirky | 1
Michael Dell | "The Zero Marginal Cost Society: The Internet of Things, the Collaborative Commons, and the Eclipse of Capitalism" by Jeremy Rifkin | 1
Tadashi Yanai | "The Mind of the Strategist: The Art of Japanese Business" by Ohmae kenichi | 1
Rupert Murdoch | "Born to Rise" by Deborah Kenny | 1
Ray Dalio | " River Out of Eden: A Darwinian View of Life"  by Richard Dawkins | 1
Carl Icahn | "Masters of the Universe: Winning Strategies of America’s Greatest Dealmakers" by Daniel J Kadlec | 1
Hasso Plattner | "Dem Wandel voraus" [German]  by August-Wilhelm Scheer, Daniel S. Morrow, Siegfried Wendt, et al. | 1
Stephen Schwarzman | "The Interpretation of Dreams" by Sigmund Freud | 1
Steve Cohen | "The Boy Who Loved Batman: A Memoir" by Michael Uslan | 1
Jeff Bezos | “Sam Walton: Made in America” by Sam Walton | 1
Bill Gates | "The Headspace Guide to Meditation and Mindfulness" by Andy Puddicombe | 1
Warren Buffet | "Jack: Straight from the Gut"  by Jack Welch | 1
Carlos Slim Helu | "My Life and Fortunes" by Jean Paul Getty | 1
Larry Ellison | "The Jordan Rules" by Doug Grud Sam Smith | 1
Mark Zuckerberg | "The Varieties of Religious Experience" by William James | 1
Charles Koch | "The Law" by Frederic Bastiat | 1
David Koch | "Peter Cornelius: Ein Deutscher Maler" by David Koch | 1
Jack Ma | "The Long Tail: Why the Future of Business is Selling Less of More" by Chris Anderson | 1
Michael Dell | "The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies" by Erik Brynjolfsson, Andrew McAfee | 1
Elon Mask | The "Foundation" Trilogy  by Isaac Asimov | 1
Rupert Murdoch | "The Amateur"  by Edward Klein | 1
Ray Dalio | "The Hero with a Thousand Faces" by Joseph Campbell | 1
Carl Icahn | "The Outsider’s Edge: The Making of Self-Made Billionaires" by Brent D. Taylor | 1
Hasso Plattner | "Anticipating Change : Secrets Behind the SAP Empire"  by Hasso Plattner | 1
Stephen Schwarzman | “Childhood and Society” by Erik H. Erikson | 1
Steve Cohen | "The World's Greatest Magic" by Hyla M. Clark | 1
Jeff Bezos | “Lean Thinking: Banish Waste and Create Wealth in Your Corporation”  by James Womack and Daniel Jones | 1
Bill Gates | "21 Lessons for the 21st Century" by Yuval Noah Harari | 1
Carlos Slim Helu | "As I See It" by Jean Paul Getty | 1
Larry Ellison | "The Last Lion Box Set" by William Manchester | 1
Mark Zuckerberg | "Creativity, Inc." by Ed Catmull | 1
Charles Koch | "The Hunt for Red October" by Tom Clancy | 1
Jack Ma | "Business Cycles [Volume One]: A Theoretical, Historical, and Statistical Analysis of the Capitalist Process" by Joseph A. Schumpeter | 1
Michael Dell | "Abundance: The Future Is Better Than You Think" by Peter Diamandis | 1
Elon Mask | "The Lord of the Rings"  by J.R.R. Tolkien | 1
Rupert Murdoch | "Lincoln Unbound" by Rich Lowry | 1
Ray Dalio | "The Power of Habit: Why We Do What We Do in Life and Business" by Charles Duhigg | 1
Carl Icahn | "Becoming Rich" by Mark Tier | 1
Stephen Schwarzman | “The Prize: The Epic Quest for Oil, Money & Power” by Daniel Yergin | 1
Jeff Bezos | “Memos from the Chairman”  by Alan Greenberg | 1
Bill Gates | "Bad Blood" by John Carreyrou | 1
Warren Buffet | "The Clash of the Cultures"  by John Bogle | 1
Carlos Slim Helu | "How To Be Rich" by Jean Paul Getty | 1
Larry Ellison | "The Robber Barons" by Matthew Josephson | 1
Charles Koch | "State of Fear" by Michael Crichton | 1
Rupert Murdoch | "Lessons of Hope" by Joel Klein | 1
Carl Icahn | "The Vulture Investors, Revised and Updated" by Hilary Rosenberg | 1
Jeff Bezos | “The Mythical Man-Month”  by Frederick P. Brooks, Jr. | 1
Bill Gates | "Army of None" by Paul Scharre | 1
Mark Zuckerberg | "The Structure of Scientific Revolutions" by Thomas S Kuhn | 1
Charles Koch | "As I Lay Dying" by William Faulker | 1
Elon Mask | "If the Universe Is Teeming with Aliens WHERE IS EVERYBODY?: Fifty Solutions to the Fermi Paradox and the Problem of Extraterrestrial Life" by Stephen Webb | 1
Ray Dalio | "A Whole New Mind: Why Right - Brainers Will Rule the Future" by Daniel H. Pink | 1
Carl Icahn | "Carl Icahn: Earn Your First Billion Dollars" by Stan Miller | 1
Jeff Bezos | “The Goal: A Process of Ongoing Improvements”  by Eliyahu Goldratt | 1
Bill Gates | "Educated" by Tara Westover | 1
Warren Buffet | "Where Are the Customers' Yachts?" by Fred Schwed | 1
Larry Ellison | "Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10" by Marcus Luttrell & Patrick Robinson | 1
Charles Koch | "The Science of Liberty: Democracy, Reason, and the Laws of Nature" by Timothy Ferris | 1
Elon Mask | "The Culture" by Iain M. Banks | 1
Rupert Murdoch | "One Nation"  by Ben Carson | 1
Carl Icahn | "When the Wolves Bite" Scott Wapner | 1
Elon Mask | "Benjamin Franklin: An American Life" by Walter Isaacson | 1
Rupert Murdoch | "The Way Forward: Renewing the American Idea" by Paul Ryan | 1
Ray Dalio | "Leadership the Outward Bound Way: Becoming a Better Leader in the Workplace, in the Wilderness, and in Your Community" by John Raynolds | 1
Elon Mask | "Howard Hughes: His Life and Madness" by Donald L. Barlett and James B. Steele | 1
Ray Dalio | "The Undoing Project: A Friendship That Changed Our Minds" by Michael Lewis | 1
Mark Zuckerberg | "Ender’s Game" by Orson Scott Card | 1
Elon Mask | "Tesla: Inventor of the Electrical Age" by W. Bernard Carlson | 1
Ray Dalio | "The Upside of Inequality: How Good Intentions Undermine the Middle Class" by Edward Conard | 1
Mark Zuckerberg | "Why Nations Fail: The Origins of Power, Prosperity, and Poverty" by Daron Acemoglu and James Robinson | 1
Elon Mask | "Deep Learning" by Yoshua Bengio | 1
Mark Zuckerberg | "Genome: The Autobiography of a Species in 23 Chapters"  by Matt Ridley | 1
Elon Mask | "Superintelligence: Paths, Dangers, Strategies" by Nick Bostrom | 1
Sam Altman | "The Hard Thing About Hard Things" by Ben Horowitz | 1
Sam Altman | "The Score Takes Care Of Itself" by Steve Jamison and Craig Walsh | 1
Sam Altman | "The Beginning Of Infinity" by David Deutsch | 1
Sam Altman | "The Lean Startup" by Eric Ries | 1
Sam Altman | "The Black Swan" by Nassim Nicholas Taleb | 1
Sam Altman | "The Prince" by Niccolò Machiavelli | 1
Sam Altman | "Thinking, Fast and Slow" by Daniel Kahneman | 1
Sam Altman | "Einstein: His Life and Universe" by Walter Isaacson | 1
Sam Altman | "The E-Myth Revisited" by Michael E. Gerber| 1
Sam Altman | "The Great CEO Within" by Matt Mochary | 1
Sam Altman | "The Making of a Manager" by Julie Zhuo | 1
Sam Altman | "The Effective Executive" by Peter F. Drucker | 1
Sam Altman | "Superintelligence" by Nick Bostrom | 1
Sam Altman | "The Art of War" by Sun Tzu  | 1
Sam Altman | "The Checklist Manifesto" by Atul Gawande | 1
Sam Altman | "The Art of Learning" by Josh Waitzkin | 1
Sam Altman | "Hackers & Painters: Big Ideas from the Computer Age" by Paul Graham | 1
Sam Altman | "The Art of Strategy: A Game Theorist's Guide to Success in Business and Life" by Avinash K. Dixit and Barry J. Nalebuff | 1
Sam Altman | "Mind of Napoleon: A Selection of His Written and Spoken Words" by J. Christopher Herold | 1
Sam Altman | "Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger" by Peter D. Kaufman | 1
